cols	data	FCS.features	geno.features	keepcols
dens__1.5.glu	TRUE	FALSE	FALSE	TRUE
dens__1.555.glu	TRUE	FALSE	FALSE	TRUE
dens__1.605.glu	TRUE	FALSE	FALSE	TRUE
dens__1.66.glu	TRUE	FALSE	FALSE	TRUE
dens__1.715.glu	TRUE	FALSE	FALSE	TRUE
dens__1.765.glu	TRUE	FALSE	FALSE	TRUE
dens__1.82.glu	TRUE	FALSE	FALSE	TRUE
dens__1.875.glu	TRUE	FALSE	FALSE	TRUE
dens__1.925.glu	TRUE	FALSE	FALSE	TRUE
dens__1.98.glu	TRUE	FALSE	FALSE	TRUE
dens__2.035.glu	TRUE	FALSE	FALSE	TRUE
dens__2.085.glu	TRUE	FALSE	FALSE	TRUE
dens__2.14.glu	TRUE	FALSE	FALSE	TRUE
dens__2.195.glu	TRUE	FALSE	FALSE	TRUE
dens__2.245.glu	TRUE	FALSE	FALSE	TRUE
dens__2.3.glu	TRUE	FALSE	FALSE	TRUE
dens__2.355.glu	TRUE	FALSE	FALSE	TRUE
dens__2.405.glu	TRUE	FALSE	FALSE	TRUE
dens__2.46.glu	TRUE	FALSE	FALSE	TRUE
dens__2.515.glu	TRUE	FALSE	FALSE	TRUE
dens__2.565.glu	TRUE	FALSE	FALSE	TRUE
dens__2.62.glu	TRUE	FALSE	FALSE	TRUE
dens__2.675.glu	TRUE	FALSE	FALSE	TRUE
GAL4.allele	FALSE	FALSE	TRUE	TRUE
GAL80.allele	FALSE	FALSE	TRUE	TRUE
GAL3.allele	FALSE	FALSE	TRUE	TRUE
source.plate.well	FALSE	FALSE	FALSE	FALSE
r	TRUE	TRUE	TRUE	TRUE
c	TRUE	TRUE	TRUE	TRUE
rc	TRUE	TRUE	TRUE	TRUE
tx.date	FALSE	FALSE	FALSE	FALSE
measurement.date.glu	TRUE	TRUE	TRUE	TRUE
media.batch.date	FALSE	FALSE	FALSE	FALSE
source.plate	TRUE	TRUE	TRUE	TRUE
plate.name.in.source.fcs.glu	FALSE	FALSE	FALSE	FALSE
xml.template.name	FALSE	FALSE	FALSE	FALSE
plate.glu	TRUE	TRUE	TRUE	TRUE
mask.transformation	FALSE	FALSE	FALSE	FALSE
mask.scoring.glu	FALSE	FALSE	FALSE	FALSE
keep.plate.glu	FALSE	FALSE	FALSE	FALSE
special.analysis.required	FALSE	FALSE	FALSE	FALSE
biol.rep.glu	TRUE	TRUE	TRUE	TRUE
comments.glu	FALSE	TRUE	FALSE	TRUE
samples.to.mask	FALSE	FALSE	FALSE	FALSE
keep	FALSE	FALSE	FALSE	FALSE
background.strain	FALSE	FALSE	TRUE	TRUE
copies.GAL3.genome	FALSE	FALSE	FALSE	FALSE
copies.GAL80.genome	FALSE	FALSE	FALSE	FALSE
copies.GAL4.genome	FALSE	FALSE	FALSE	FALSE
total.WT.copies.genome	FALSE	FALSE	FALSE	FALSE
sample_flow_rate	FALSE	TRUE	FALSE	TRUE
sample_volume	FALSE	TRUE	FALSE	TRUE
record_sample_volume.glu	FALSE	TRUE	FALSE	TRUE
mixing_volume.glu	FALSE	TRUE	FALSE	TRUE
mixing_speed.glu	FALSE	TRUE	FALSE	TRUE
number_mixes.glu	FALSE	TRUE	FALSE	TRUE
wash_volume.glu	FALSE	TRUE	FALSE	TRUE
tube.name.glu	FALSE	TRUE	FALSE	TRUE
plate.num	FALSE	TRUE	FALSE	TRUE
GAL3.clone.named	FALSE	FALSE	TRUE	TRUE
GAL3.classic.allele	FALSE	FALSE	FALSE	FALSE
GAL3.mutation.nickname	FALSE	FALSE	FALSE	FALSE
GAL3.mutation.AA	FALSE	FALSE	FALSE	FALSE
GAL3.mutant.class	FALSE	FALSE	TRUE	TRUE
GAL80.clone.named	FALSE	FALSE	TRUE	TRUE
GAL80.classic.allele	FALSE	FALSE	FALSE	FALSE
GAL80.mutation.nickname	FALSE	FALSE	FALSE	FALSE
GAL80.mutation.AA	FALSE	FALSE	FALSE	FALSE
GAL80.mutant.class	FALSE	FALSE	TRUE	TRUE
GAL4.clone.named	FALSE	FALSE	TRUE	TRUE
GAL4.classic.allele	FALSE	FALSE	FALSE	FALSE
GAL4.mutation.nickname	FALSE	FALSE	FALSE	FALSE
GAL4.mutation.AA	FALSE	FALSE	FALSE	FALSE
GAL4.mutant.class	FALSE	FALSE	TRUE	TRUE
samp.plate.rc	FALSE	FALSE	FALSE	FALSE
allele.named	TRUE	TRUE	TRUE	TRUE
replicate.day.glu	FALSE	FALSE	FALSE	FALSE
clone.named	TRUE	TRUE	TRUE	TRUE
cell.per.ml.glu	FALSE	TRUE	FALSE	TRUE
next.day.glu	FALSE	TRUE	FALSE	TRUE
samp_id.gal	TRUE	TRUE	TRUE	TRUE
yfp.min.gal	TRUE	FALSE	FALSE	TRUE
yfp.5th.gal	TRUE	FALSE	FALSE	TRUE
yfp.25th.gal	TRUE	FALSE	FALSE	TRUE
yfp.median.gal	TRUE	FALSE	FALSE	TRUE
yfp.75th.gal	TRUE	FALSE	FALSE	TRUE
yfp.95th.gal	TRUE	FALSE	FALSE	TRUE
yfp.max.gal	TRUE	FALSE	FALSE	TRUE
yfp.mean.gal	TRUE	FALSE	FALSE	TRUE
yfp.variance.gal	TRUE	FALSE	FALSE	TRUE
fracon.gal	TRUE	FALSE	FALSE	TRUE
mean.norm.fsc.gal	TRUE	FALSE	FALSE	TRUE
var.norm.fsc.gal	TRUE	FALSE	FALSE	TRUE
N.gal	TRUE	FALSE	FALSE	TRUE
mean.on.fraction.gal	TRUE	FALSE	FALSE	TRUE
var.on.fraction.gal	TRUE	FALSE	FALSE	TRUE
cells.per.sec.gal	FALSE	FALSE	FALSE	FALSE
dip.stat.gal	TRUE	FALSE	FALSE	TRUE
dip.pval.gal	TRUE	FALSE	FALSE	TRUE
mean.fsc.gal	FALSE	TRUE	FALSE	TRUE
median.fsc.gal	FALSE	TRUE	FALSE	TRUE
mean.ssc.gal	FALSE	TRUE	FALSE	TRUE
median.ssc.gal	FALSE	TRUE	FALSE	TRUE
FITC.saturation.corrected.gal	FALSE	TRUE	FALSE	TRUE
pct.oversaturation.gal	FALSE	TRUE	FALSE	TRUE
dens__-0.4735.gal	TRUE	FALSE	FALSE	TRUE
dens__-0.42.gal	TRUE	FALSE	FALSE	TRUE
dens__-0.3665.gal	TRUE	FALSE	FALSE	TRUE
dens__-0.3135.gal	TRUE	FALSE	FALSE	TRUE
dens__-0.26.gal	TRUE	FALSE	FALSE	TRUE
dens__-0.2065.gal	TRUE	FALSE	FALSE	TRUE
dens__-0.1535.gal	TRUE	FALSE	FALSE	TRUE
dens__-0.10015.gal	TRUE	FALSE	FALSE	TRUE
dens__-0.04665.gal	TRUE	FALSE	FALSE	TRUE
dens__0.00665.gal	TRUE	FALSE	FALSE	TRUE
dens__0.06.gal	TRUE	FALSE	FALSE	TRUE
dens__0.11335.gal	TRUE	FALSE	FALSE	TRUE
dens__0.1665.gal	TRUE	FALSE	FALSE	TRUE
dens__0.22.gal	TRUE	FALSE	FALSE	TRUE
dens__0.2735.gal	TRUE	FALSE	FALSE	TRUE
dens__0.3265.gal	TRUE	FALSE	FALSE	TRUE
dens__0.38.gal	TRUE	FALSE	FALSE	TRUE
dens__0.4335.gal	TRUE	FALSE	FALSE	TRUE
dens__0.4865.gal	TRUE	FALSE	FALSE	TRUE
dens__0.54.gal	TRUE	FALSE	FALSE	TRUE
dens__0.5935.gal	TRUE	FALSE	FALSE	TRUE
dens__0.6465.gal	TRUE	FALSE	FALSE	TRUE
dens__0.7.gal	TRUE	FALSE	FALSE	TRUE
dens__0.7535.gal	TRUE	FALSE	FALSE	TRUE
dens__0.8065.gal	TRUE	FALSE	FALSE	TRUE
dens__0.86.gal	TRUE	FALSE	FALSE	TRUE
dens__0.9135.gal	TRUE	FALSE	FALSE	TRUE
dens__0.9665.gal	TRUE	FALSE	FALSE	TRUE
dens__1.0215.gal	TRUE	FALSE	FALSE	TRUE
dens__1.075.gal	TRUE	FALSE	FALSE	TRUE
dens__1.125.gal	TRUE	FALSE	FALSE	TRUE
dens__1.18.gal	TRUE	FALSE	FALSE	TRUE
dens__1.235.gal	TRUE	FALSE	FALSE	TRUE
dens__1.285.gal	TRUE	FALSE	FALSE	TRUE
dens__1.34.gal	TRUE	FALSE	FALSE	TRUE
dens__1.395.gal	TRUE	FALSE	FALSE	TRUE
dens__1.445.gal	TRUE	FALSE	FALSE	TRUE
dens__1.5.gal	TRUE	FALSE	FALSE	TRUE
dens__1.555.gal	TRUE	FALSE	FALSE	TRUE
dens__1.605.gal	TRUE	FALSE	FALSE	TRUE
dens__1.66.gal	TRUE	FALSE	FALSE	TRUE
dens__1.715.gal	TRUE	FALSE	FALSE	TRUE
dens__1.765.gal	TRUE	FALSE	FALSE	TRUE
dens__1.82.gal	TRUE	FALSE	FALSE	TRUE
dens__1.875.gal	TRUE	FALSE	FALSE	TRUE
dens__1.925.gal	TRUE	FALSE	FALSE	TRUE
dens__1.98.gal	TRUE	FALSE	FALSE	TRUE
dens__2.035.gal	TRUE	FALSE	FALSE	TRUE
dens__2.085.gal	TRUE	FALSE	FALSE	TRUE
dens__2.14.gal	TRUE	FALSE	FALSE	TRUE
dens__2.195.gal	TRUE	FALSE	FALSE	TRUE
dens__2.245.gal	TRUE	FALSE	FALSE	TRUE
dens__2.3.gal	TRUE	FALSE	FALSE	TRUE
dens__2.355.gal	TRUE	FALSE	FALSE	TRUE
dens__2.405.gal	TRUE	FALSE	FALSE	TRUE
dens__2.46.gal	TRUE	FALSE	FALSE	TRUE
dens__2.515.gal	TRUE	FALSE	FALSE	TRUE
dens__2.565.gal	TRUE	FALSE	FALSE	TRUE
dens__2.62.gal	TRUE	FALSE	FALSE	TRUE
dens__2.675.gal	TRUE	FALSE	FALSE	TRUE
measurement.date.gal	TRUE	TRUE	TRUE	TRUE
plate.name.in.source.fcs.gal	FALSE	FALSE	FALSE	FALSE
plate.gal	TRUE	TRUE	TRUE	TRUE
mask.scoring.gal	FALSE	FALSE	FALSE	FALSE
keep.plate.gal	FALSE	FALSE	FALSE	FALSE
biol.rep.gal	TRUE	FALSE	FALSE	TRUE
comments.gal	FALSE	FALSE	FALSE	FALSE
record_sample_volume.gal	FALSE	FALSE	FALSE	FALSE
mixing_volume.gal	FALSE	FALSE	FALSE	FALSE
mixing_speed.gal	FALSE	FALSE	FALSE	FALSE
number_mixes.gal	FALSE	FALSE	FALSE	FALSE
wash_volume.gal	FALSE	FALSE	FALSE	FALSE
tube.name.gal	FALSE	FALSE	FALSE	FALSE
replicate.day.gal	FALSE	FALSE	FALSE	FALSE
cell.per.ml.gal	FALSE	FALSE	FALSE	FALSE
next.day.gal	FALSE	FALSE	FALSE	FALSE
generations	TRUE	FALSE	FALSE	TRUE
growth.rate	TRUE	FALSE	FALSE	TRUE
phenotypic.index	TRUE	FALSE	FALSE	TRUE
vartemp	FALSE	FALSE	FALSE	FALSE
aa	FALSE	FALSE	FALSE	FALSE
bb	FALSE	FALSE	FALSE	FALSE
cc	FALSE	FALSE	FALSE	FALSE
abc	FALSE	FALSE	FALSE	FALSE
G4.single	FALSE	FALSE	FALSE	FALSE
G3.single	FALSE	FALSE	FALSE	FALSE
G80.single	FALSE	FALSE	FALSE	FALSE
WT	FALSE	FALSE	FALSE	FALSE
GAL3vGAL80	FALSE	FALSE	FALSE	FALSE
GAL4vGAL80	FALSE	FALSE	FALSE	FALSE
GAL3vGAL4	FALSE	FALSE	FALSE	FALSE
G4vG3.double	FALSE	FALSE	FALSE	FALSE
G4vG80.double	FALSE	FALSE	FALSE	FALSE
replicate.allele	FALSE	FALSE	FALSE	FALSE
replicate.clone.named	FALSE	FALSE	FALSE	FALSE
arb	FALSE	FALSE	FALSE	FALSE
clone.named.old	FALSE	FALSE	FALSE	FALSE
